customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
5,20.759568818867642,870557.6620533199,1,446.8285758803521,0.42906904220581055,317962597.3136642,181.53213916627095,84.55488539443307,298.85752644009426
5,21.807928436811803,1122202.452803979,2,560.7708033108279,0.15447402000427246,333617313.6165907,398.79276844778457,111.30741764864537,365.98282242569843
5,22.05401882362553,1275849.7627650048,2,626.6089877457696,0.12283658981323242,386484414.9013411,159.63853127497603,123.96741620692588,409.66600938364934
5,24.02719211289921,1544583.4089343273,2,738.2419372279542,0.11970806121826172,478386420.68431664,222.24088277662742,162.63566993448447,453.62951484260634
5,23.326685897117763,1570629.080092057,2,752.3617595858901,0.213975191116333,473590558.7656749,331.0730930812655,158.8061351225602,474.4510231214098
5,19.236302287141473,1070864.736075122,2,553.8091408840985,0.23658442497253418,328178516.035795,224.8029553646691,90.8883738501657,394.7544866463086
5,21.710458791496794,1048086.8732097032,2,527.4324744612084,0.21699166297912598,311742795.3713518,420.74379266017274,99.73497224262756,352.89627303661007
5,19.094800273726744,1165711.1629976202,2,609.9925850251163,0.2747035026550293,358054932.01301336,181.2189133088374,101.98687449916655,431.5155546515749
5,19.534630130553165,1169986.128942299,2,605.0242887402337,0.19068336486816406,360897030.90662163,239.7802902691343,103.66055476266543,423.6183179055692
5,19.569621537573344,1258782.686816144,2,648.731592331385,0.13545775413513184,387428086.80224127,297.61633562918894,111.336585687567,453.89256737814276
6,21.065283973673154,1573355.362328556,2,986.3194710755064,0.2501206398010254,492498521.52844983,491.2597832631893,145.2056047313323,732.2096627956748
6,19.92341754976109,1053756.6106992734,2,547.260848741744,0.2866394519805908,355592955.8553477,592.3738015217984,96.8248162892169,377.81742023561435
6,20.22770380220579,1642786.4852116602,2,841.6286596428272,0.30647754669189453,514887529.3446719,405.6796456255552,154.43524671075832,571.3669778990002
6,20.358768836157033,1400475.9285311988,2,709.946043605933,0.29855918884277344,450730735.99596727,284.07499786585737,127.70417842783608,486.46373135721984
6,19.133650204153817,1115913.696703707,2,582.4984165846975,0.2817659378051758,350793043.09482676,312.0808830929466,95.75109189575028,414.93400576713447
6,20.66286130964391,1191537.478014381,2,692.5010081240941,0.18151021003723145,362908253.07343966,255.79239172640436,112.73897839607925,495.2077959309554
6,19.34700088924952,617385.0045607543,2,326.21338463083197,0.18032431602478027,192584324.84498465,207.4405091043097,52.430785583499656,234.45950985970757
6,19.192597042317658,1208912.9414467702,2,637.3639511963041,0.17757892608642578,373521423.6742466,528.1114650338261,108.88143962611068,446.82143185061045
6,20.969868221239715,1781634.5369186709,2,957.1835313654911,0.3077428340911865,571748408.110474,571.7503628328764,168.517379455497,662.2781173183714
6,20.77352913460629,1513062.7995244875,2,755.5944569283313,0.26456189155578613,465138060.0746128,243.9229640643627,137.98921258239056,514.1133349091477
7,21.433741732779033,1564195.121715723,2,774.9883179684566,0.33046698570251465,507315905.54191446,391.8207394714045,147.34525516246268,517.1341214341469
7,22.940487902684076,1730596.43114843,2,840.6672950427364,0.2021467685699463,544987091.6786697,387.23231653477023,175.26899940004233,533.9465460926624
7,22.33153253832273,1684424.8878185337,2,818.8616177876559,0.22852039337158203,529673467.28921384,501.9568968443241,162.84932763836125,533.8752944205237
7,22.118588599179567,1360583.7509294928,2,673.4423635650985,0.23842072486877441,443505262.46671534,574.5869948331339,134.0872001073367,438.7897633772592
7,20.428756227115677,1352801.9123171063,2,684.690288222248,0.2462465763092041,433124073.04545426,381.80682324708556,122.13355351781794,470.9565695660666
7,19.48609078215281,1283333.3904889838,2,677.5080506341712,0.2126598358154297,417972908.17084676,260.4452392887498,119.44109895449915,468.48612746379774
7,21.412237899511435,1531579.486208386,2,759.6149129731836,0.2491436004638672,498567918.5290804,344.5517372332098,144.2220981680122,507.22624117916223
7,18.575408460581002,1350550.5191363604,3,821.2491004042155,0.17708969116210938,404718381.51794827,334.2460731789187,114.37952560662943,621.084930592614
7,22.785066016392506,1551225.895947822,2,755.39871871214,0.23420476913452148,506582680.21060836,647.8369471631252,155.27417525616212,483.66891201385624
7,23.205409602344226,1776362.8843058394,2,855.9306533234936,0.23847651481628418,569239857.3571196,272.956743444469,179.65273762842102,541.5383624737568
8,19.392970108215778,1408392.4274059846,3,742.1214440557941,0.3739790916442871,458113141.6797759,652.4066332650868,127.60478404661164,518.8130719742237
8,23.700974261975755,1655159.9518169118,2,800.9622958199325,0.35011792182922363,540891628.6503756,311.7205288249332,173.28900938782007,497.7065293912473
8,19.51053708072498,1275524.2404269744,3,666.2713796370722,0.41980791091918945,425281685.2246557,315.4985849944263,112.56239997256898,469.28717968507647
8,19.435544037930363,1292290.5395319557,2,679.9340660063726,0.23609161376953125,448329287.1314761,507.6717232733596,117.18758468106864,474.85579281450254
8,19.988711506957145,1624102.06930343,3,838.8902702009199,0.3658933639526367,502162323.63274276,338.12947599638983,149.2144873537182,577.764917331913
8,19.96794118799986,1666784.156279593,3,853.4301655127123,0.36200904846191406,528679502.56722164,495.33987048793546,148.84643612867683,592.9489022875279
